data	epochs	precision	recall	fscore
Praat	61	0.8	0.856	0.83
Praat	93	0.776	0.881	0.83
Praat	59	0.756	0.91	0.83
Praat	51	0.826	0.826	0.83
Praat	74	0.797	0.9	0.85
Praat	97	0.787	0.846	0.82
Praat	59	0.756	0.91	0.83
Praat	54	0.82	0.836	0.83
Praat	88	0.786	0.896	0.84
Praat	83	0.814	0.826	0.82
Praat	30	0.81	0.786	0.8
Praat	51	0.826	0.826	0.83
Praat	88	0.786	0.896	0.84
Praat	89	0.807	0.851	0.83
Praat	68	0.791	0.846	0.82
Praat	96	0.77	0.866	0.82
Praat	74	0.797	0.9	0.85
Praat	83	0.814	0.826	0.82
Praat	68	0.791	0.846	0.82
Praat	68	0.834	0.801	0.82
Praat	7	0.798	0.806	0.8
Praat	97	0.787	0.846	0.82
Praat	30	0.81	0.786	0.8
Praat	96	0.77	0.866	0.82
Praat	7	0.798	0.806	0.8
Praat	45	0.781	0.836	0.81
