,text,ipa,syllables,stress,audio_files,audio_urls
0,أتراك,ʔɑtˈrˤɑːk,2,2,LL-Q55633582 (ajp)-AdrianAbdulBaha-أتراك.wav,https://upload.wikimedia.org/wikipedia/commons/4/47/LL-Q55633582_%28ajp%29-AdrianAbdulBaha-%D8%A3%D8%AA%D8%B1%D8%A7%D9%83.wav
1,أثاث,ʔaˈθæːθ,2,2,LL-Q55633582 (ajp)-Muhammad (AdrianAbdulBaha)-أثاث.wav,https://upload.wikimedia.org/wikipedia/commons/b/bc/LL-Q55633582_%28ajp%29-Muhammad_%28AdrianAbdulBaha%29-%D8%A3%D8%AB%D8%A7%D8%AB.wav
2,أجار,ʔɑˈʒɑːrˤ,2,2,LL-Q55633582 (ajp)-Muhammad (AdrianAbdulBaha)-أجار.wav,https://upload.wikimedia.org/wikipedia/commons/4/49/LL-Q55633582_%28ajp%29-Muhammad_%28AdrianAbdulBaha%29-%D8%A3%D8%AC%D8%A7%D8%B1.wav
3,أخير,ʔaˈxiːr,2,2,LL-Q55633582 (ajp)-Muhammad (AdrianAbdulBaha)-أخير.wav,https://upload.wikimedia.org/wikipedia/commons/1/10/LL-Q55633582_%28ajp%29-Muhammad_%28AdrianAbdulBaha%29-%D8%A3%D8%AE%D9%8A%D8%B1.wav
4,أربعين,ʔarbˈʕiːn,2,2,LL-Q55633582 (ajp)-Muhammad (AdrianAbdulBaha)-40.wav,https://upload.wikimedia.org/wikipedia/commons/8/80/LL-Q55633582_%28ajp%29-Muhammad_%28AdrianAbdulBaha%29-40.wav
5,أسبوع,ʔʊsˈbuːʕ,2,2,LL-Q55633582 (ajp)-Muhammad (AdrianAbdulBaha)-آخر الأسبوع.wav,https://upload.wikimedia.org/wikipedia/commons/c/c4/LL-Q55633582_%28ajp%29-Muhammad_%28AdrianAbdulBaha%29-%D8%A2%D8%AE%D8%B1_%D8%A7%D9%84%D8%A3%D8%B3%D8%A8%D9%88%D8%B9.wav
6,أستاذ,ʔʊsˈtæːz,2,2,LL-Q55633582 (ajp)-Muhammad (AdrianAbdulBaha)-أستاذ.wav,https://upload.wikimedia.org/wikipedia/commons/6/6f/LL-Q55633582_%28ajp%29-Muhammad_%28AdrianAbdulBaha%29-%D8%A3%D8%B3%D8%AA%D8%A7%D8%B0.wav
7,أشخاص,ʔaʃˈxɑːsˤ,2,2,LL-Q55633582 (ajp)-MahmoudM (AdrianAbdulBaha)-اشخاص.wav,https://upload.wikimedia.org/wikipedia/commons/9/93/LL-Q55633582_%28ajp%29-MahmoudM_%28AdrianAbdulBaha%29-%D8%A7%D8%B4%D8%AE%D8%A7%D8%B5.wav
8,أصاب,ʔɑˈsˤɑːb,2,2,LL-Q55633582 (ajp)-Khalil.rantissi-أصاب.wav,https://upload.wikimedia.org/wikipedia/commons/3/32/LL-Q55633582_%28ajp%29-Khalil.rantissi-%D8%A3%D8%B5%D8%A7%D8%A8.wav
9,أصحاب,ʔɑsˤˈħɑːb,2,2,LL-Q55633582 (ajp)-MahmoudM (AdrianAbdulBaha)-اصحاب.wav,https://upload.wikimedia.org/wikipedia/commons/0/01/LL-Q55633582_%28ajp%29-MahmoudM_%28AdrianAbdulBaha%29-%D8%A7%D8%B5%D8%AD%D8%A7%D8%A8.wav
10,أصر,ʔɑˈsˤɑr,2,2,LL-Q55633582 (ajp)-AdrianAbdulBaha-أصَرّ.wav,https://upload.wikimedia.org/wikipedia/commons/7/72/LL-Q55633582_%28ajp%29-AdrianAbdulBaha-%D8%A3%D8%B5%D9%8E%D8%B1%D9%91.wav
11,أعار,ʔaˈʕɑːrˤ,2,2,LL-Q55633582 (ajp)-Khalil.rantissi-أعار.wav,https://upload.wikimedia.org/wikipedia/commons/1/1f/LL-Q55633582_%28ajp%29-Khalil.rantissi-%D8%A3%D8%B9%D8%A7%D8%B1.wav
12,أفاد,ʔaˈfæːd,2,2,LL-Q55633582 (ajp)-Khalil.rantissi-أفاد.wav,https://upload.wikimedia.org/wikipedia/commons/5/56/LL-Q55633582_%28ajp%29-Khalil.rantissi-%D8%A3%D9%81%D8%A7%D8%AF.wav
13,أفكار,ʔafˈkɑːrˤ,2,2,LL-Q55633582 (ajp)-Muhammad (AdrianAbdulBaha)-أفكار.wav,https://upload.wikimedia.org/wikipedia/commons/5/53/LL-Q55633582_%28ajp%29-Muhammad_%28AdrianAbdulBaha%29-%D8%A3%D9%81%D9%83%D8%A7%D8%B1.wav
14,أكيد,ʔaˈkiːd,2,2,LL-Q55633582 (ajp)-Khalil.rantissi-أكيد.wav,https://upload.wikimedia.org/wikipedia/commons/e/e3/LL-Q55633582_%28ajp%29-Khalil.rantissi-%D8%A3%D9%83%D9%8A%D8%AF.wav
15,أكيل,ʔakˈkiːl,2,2,LL-Q55633582 (ajp)-Khalil.rantissi-أكّيل.wav,https://upload.wikimedia.org/wikipedia/commons/2/21/LL-Q55633582_%28ajp%29-Khalil.rantissi-%D8%A3%D9%83%D9%91%D9%8A%D9%84.wav
16,أنو,ʔaˈnuː,2,2,LL-Q55633582 (ajp)-Muhammad (AdrianAbdulBaha)-أنو.wav,https://upload.wikimedia.org/wikipedia/commons/3/37/LL-Q55633582_%28ajp%29-Muhammad_%28AdrianAbdulBaha%29-%D8%A3%D9%86%D9%88.wav
17,أني,ʔaˈniː,2,2,LL-Q55633582 (ajp)-Muhammad (AdrianAbdulBaha)-ʔani.wav,https://upload.wikimedia.org/wikipedia/commons/d/df/LL-Q55633582_%28ajp%29-Muhammad_%28AdrianAbdulBaha%29-%CA%94ani.wav
