data	accuracy	precision	recall	fscore
Raw	(1.303, 0.0)	0	0.0	None
Raw	(1.303, 0.0)	0	0.0	None
Raw	(1.303, 0.0)	0	0.0	None
Raw	(1.303, 0.0)	0	0.0	None
Raw	(1.303, 0.0)	0	0.0	None
Raw	(1.303, 0.0)	0	0.0	None
Raw	(1.606, 0.562)	0.684	0.562	0.62
Raw	(0.732, 0.632)	0.706	0.657	0.68
Raw	(0.747, 0.642)	0.723	0.677	0.7
Raw	(0.758, 0.662)	0.731	0.701	0.72
Raw	(0.76, 0.672)	0.725	0.721	0.72
Raw	(0.771, 0.682)	0.725	0.761	0.74
Raw	(0.771, 0.697)	0.736	0.736	0.74
Raw	(0.771, 0.697)	0.725	0.761	0.74
Raw	(0.745, 0.612)	0.688	0.756	0.72
Raw	(0.749, 0.622)	0.694	0.756	0.72
Raw	(0.758, 0.617)	0.694	0.791	0.74
Raw	(0.767, 0.662)	0.746	0.701	0.72
Raw	(0.767, 0.672)	0.743	0.706	0.72
Raw	(0.749, 0.622)	0.709	0.716	0.71
Raw	(0.754, 0.622)	0.723	0.701	0.71
Raw	(0.773, 0.667)	0.753	0.711	0.73
Raw	(0.758, 0.617)	0.703	0.766	0.73
Raw	(0.771, 0.672)	0.749	0.711	0.73
Raw	(0.784, 0.682)	0.754	0.746	0.75
Raw	(0.765, 0.627)	0.715	0.761	0.74
Raw	(0.756, 0.647)	0.747	0.662	0.7
Raw	(0.767, 0.622)	0.709	0.786	0.75
Raw	(0.767, 0.647)	0.741	0.711	0.73
Raw	(0.758, 0.632)	0.726	0.711	0.72
Raw	(0.762, 0.632)	0.726	0.726	0.73
Raw	(0.771, 0.632)	0.744	0.721	0.73
Raw	(0.752, 0.627)	0.711	0.721	0.72
Raw	(0.758, 0.637)	0.707	0.756	0.73
Raw	(0.754, 0.627)	0.725	0.697	0.71
Raw	(0.749, 0.637)	0.707	0.721	0.71
Raw	(0.756, 0.622)	0.729	0.697	0.71
Raw	(0.754, 0.622)	0.719	0.711	0.71
Raw	(0.752, 0.612)	0.707	0.731	0.72
Raw	(0.765, 0.617)	0.723	0.741	0.73
Raw	(0.747, 0.587)	0.698	0.736	0.72
Raw	(0.749, 0.592)	0.686	0.781	0.73
Raw	(0.754, 0.617)	0.719	0.711	0.71
Raw	(0.775, 0.662)	0.777	0.677	0.72
Raw	(0.745, 0.667)	0.722	0.672	0.7
Raw	(0.782, 0.692)	0.75	0.746	0.75
Raw	(0.775, 0.701)	0.734	0.756	0.74
Raw	(0.793, 0.716)	0.766	0.751	0.76
Raw	(0.765, 0.647)	0.764	0.662	0.71
Raw	(0.76, 0.652)	0.734	0.701	0.72
Raw	(0.76, 0.657)	0.742	0.687	0.71
Raw	(0.765, 0.677)	0.728	0.731	0.73
Raw	(0.754, 0.662)	0.721	0.706	0.71
Raw	(0.76, 0.662)	0.734	0.701	0.72
Raw	(0.749, 0.637)	0.72	0.692	0.71
Raw	(0.771, 0.682)	0.725	0.761	0.74
Raw	(0.76, 0.672)	0.727	0.716	0.72
Raw	(0.762, 0.627)	0.71	0.766	0.74
Raw	(0.756, 0.672)	0.714	0.731	0.72
Raw	(0.76, 0.672)	0.712	0.751	0.73
Raw	(0.762, 0.672)	0.716	0.751	0.73
Raw	(0.754, 0.667)	0.71	0.731	0.72
Raw	(0.749, 0.667)	0.705	0.726	0.72
Raw	(0.754, 0.662)	0.712	0.726	0.72
Raw	(0.752, 0.647)	0.731	0.677	0.7
Raw	(0.756, 0.667)	0.695	0.781	0.74
Raw	(0.754, 0.662)	0.716	0.716	0.72
Raw	(0.762, 0.672)	0.733	0.711	0.72
Raw	(0.765, 0.657)	0.735	0.716	0.73
Raw	(0.749, 0.652)	0.718	0.697	0.71
Raw	(0.754, 0.662)	0.716	0.716	0.72
Raw	(0.739, 0.607)	0.679	0.756	0.72
Raw	(0.76, 0.637)	0.756	0.662	0.71
Raw	(0.769, 0.642)	0.755	0.692	0.72
Raw	(0.762, 0.667)	0.746	0.687	0.72
Raw	(0.762, 0.662)	0.743	0.692	0.72
Raw	(0.771, 0.627)	0.771	0.672	0.72
Raw	(0.76, 0.692)	0.721	0.731	0.73
Raw	(0.769, 0.667)	0.758	0.687	0.72
Raw	(0.758, 0.627)	0.685	0.821	0.75
Raw	(0.767, 0.597)	0.796	0.622	0.7
Raw	(0.765, 0.637)	0.721	0.746	0.73
Raw	(0.76, 0.667)	0.721	0.731	0.73
Raw	(0.765, 0.687)	0.719	0.751	0.73
Raw	(0.771, 0.647)	0.707	0.806	0.75
Raw	(0.745, 0.537)	0.803	0.547	0.65
Raw	(0.732, 0.552)	0.655	0.811	0.72
Raw	(0.76, 0.602)	0.762	0.652	0.7
Raw	(0.721, 0.572)	0.658	0.746	0.7
Raw	(0.743, 0.592)	0.733	0.642	0.68
Raw	(0.754, 0.612)	0.751	0.647	0.7
Raw	(0.719, 0.572)	0.692	0.637	0.66
Raw	(0.743, 0.597)	0.701	0.711	0.71
Raw	(0.734, 0.532)	0.783	0.537	0.64
Raw	(0.756, 0.652)	0.712	0.736	0.72
Raw	(0.739, 0.562)	0.76	0.582	0.66
Raw	(0.741, 0.562)	0.758	0.592	0.66
Raw	(0.767, 0.662)	0.7	0.811	0.75
Raw	(0.769, 0.682)	0.714	0.781	0.75
Raw	(0.765, 0.662)	0.715	0.761	0.74
Raw	(0.732, 0.572)	0.723	0.622	0.67
Raw	(0.767, 0.657)	0.718	0.761	0.74
Raw	(0.741, 0.627)	0.677	0.771	0.72
Raw	(0.754, 0.607)	0.678	0.826	0.74
Raw	(0.769, 0.612)	0.801	0.622	0.7
Raw	(0.747, 0.567)	0.78	0.582	0.67
Raw	(0.775, 0.692)	0.732	0.761	0.75
Raw	(0.767, 0.652)	0.746	0.701	0.72
Raw	(0.747, 0.587)	0.676	0.801	0.73
Raw	(0.769, 0.647)	0.694	0.836	0.76
Raw	(0.765, 0.627)	0.745	0.697	0.72
Raw	(0.749, 0.617)	0.681	0.796	0.73
Raw	(0.758, 0.577)	0.667	0.886	0.76
