,text,ipa,syllables,stress,audio_files,audio_urls
,أتراك,ʔɑtˈrˤɑːk,2,2,LL-Q55633582 (ajp)-AdrianAbdulBaha-أتراك.wav,https://upload.wikimedia.org/wikipedia/commons/4/47/LL-Q55633582_%28ajp%29-AdrianAbdulBaha-%D8%A3%D8%AA%D8%B1%D8%A7%D9%83.wav
1372,نسبة,ˈnɪs.be,2,1,LL-Q55633582 (ajp)-Muhammad (AdrianAbdulBaha)-نسبة.wav,https://upload.wikimedia.org/wikipedia/commons/e/e1/LL-Q55633582_%28ajp%29-Muhammad_%28AdrianAbdulBaha%29-%D9%86%D8%B3%D8%A8%D8%A9.wav
1264,ليلة,ˈleː.le,2,1,LL-Q55633582 (ajp)-AseelF (AdrianAbdulBaha)-ليلة.wav,https://upload.wikimedia.org/wikipedia/commons/b/b8/LL-Q55633582_%28ajp%29-AseelF_%28AdrianAbdulBaha%29-%D9%84%D9%8A%D9%84%D8%A9.wav
262,مبسوط,mɑbˈsˤuːtˤ,2,2,LL-Q55633582 (ajp)-Muhammad (AdrianAbdulBaha)-مبسوط.wav,https://upload.wikimedia.org/wikipedia/commons/c/c5/LL-Q55633582_%28ajp%29-Muhammad_%28AdrianAbdulBaha%29-%D9%85%D8%A8%D8%B3%D9%88%D8%B7.wav
833,سحل,ˈsa.ħal,2,1,LL-Q55633582 (ajp)-Khalil.rantissi-سحل.wav,https://upload.wikimedia.org/wikipedia/commons/5/5c/LL-Q55633582_%28ajp%29-Khalil.rantissi-%D8%B3%D8%AD%D9%84.wav
167,شتات,ʃaˈtæːt,2,2,LL-Q55633582 (ajp)-Khalil.rantissi-شتات.wav,https://upload.wikimedia.org/wikipedia/commons/8/83/LL-Q55633582_%28ajp%29-Khalil.rantissi-%D8%B4%D8%AA%D8%A7%D8%AA.wav
657,حمي,ˈħi.mi,2,1,LL-Q55633582 (ajp)-Khalil.rantissi-حِمي.wav,https://upload.wikimedia.org/wikipedia/commons/b/b0/LL-Q55633582_%28ajp%29-Khalil.rantissi-%D8%AD%D9%90%D9%85%D9%8A.wav
65,بريم,barˈriːm,2,2,LL-Q55633582 (ajp)-Muhammad (AdrianAbdulBaha)-برّيم.wav,https://upload.wikimedia.org/wikipedia/commons/9/9d/LL-Q55633582_%28ajp%29-Muhammad_%28AdrianAbdulBaha%29-%D8%A8%D8%B1%D9%91%D9%8A%D9%85.wav
522,بلتهب,ˈbɪlt.hɪb,2,1,LL-Q55633582 (ajp)-Muhammad (AdrianAbdulBaha)-biltheb.wav,https://upload.wikimedia.org/wikipedia/commons/8/8f/LL-Q55633582_%28ajp%29-Muhammad_%28AdrianAbdulBaha%29-biltheb.wav
325,آسف,ˈʔæː.sɪf,2,1,LL-Q55633582 (ajp)-MahmoudM (AdrianAbdulBaha)-آسف.wav,https://upload.wikimedia.org/wikipedia/commons/6/6d/LL-Q55633582_%28ajp%29-MahmoudM_%28AdrianAbdulBaha%29-%D8%A2%D8%B3%D9%81.wav
1402,هادا,ˈhæː.da,2,1,LL-Q55633582 (ajp)-Muhammad (AdrianAbdulBaha)-هادا.wav,https://upload.wikimedia.org/wikipedia/commons/1/13/LL-Q55633582_%28ajp%29-Muhammad_%28AdrianAbdulBaha%29-%D9%87%D8%A7%D8%AF%D8%A7.wav
268,مدير,muˈdiːr,2,2,LL-Q55633582 (ajp)-AmmanM (AdrianAbdulBaha)-مدير.wav,https://upload.wikimedia.org/wikipedia/commons/a/a4/LL-Q55633582_%28ajp%29-AmmanM_%28AdrianAbdulBaha%29-%D9%85%D8%AF%D9%8A%D8%B1.wav
290,مكان,maˈkæːn,2,2,LL-Q55633582 (ajp)-AmmanM (AdrianAbdulBaha)-مكان.wav,https://upload.wikimedia.org/wikipedia/commons/5/53/LL-Q55633582_%28ajp%29-AmmanM_%28AdrianAbdulBaha%29-%D9%85%D9%83%D8%A7%D9%86.wav
1442,وطن,ˈwɑ.tˤɑn,2,1,LL-Q55633582 (ajp)-Khalil.rantissi-وطن.wav,https://upload.wikimedia.org/wikipedia/commons/8/8c/LL-Q55633582_%28ajp%29-Khalil.rantissi-%D9%88%D8%B7%D9%86.wav
931,صحن,ˈsˤɑ.ħ(ɪ)n,2,1,LL-Q55633582 (ajp)-IbrahimZ (AdrianAbdulBaha)-صحن.wav,https://upload.wikimedia.org/wikipedia/commons/d/d3/LL-Q55633582_%28ajp%29-IbrahimZ_%28AdrianAbdulBaha%29-%D8%B5%D8%AD%D9%86.wav
612,حاسس,ˈħæː.sɪs,2,1,LL-Q55633582 (ajp)-Khalil.rantissi-حاسس.wav,https://upload.wikimedia.org/wikipedia/commons/5/5d/LL-Q55633582_%28ajp%29-Khalil.rantissi-%D8%AD%D8%A7%D8%B3%D8%B3.wav
16,أني,ʔaˈniː,2,2,LL-Q55633582 (ajp)-Muhammad (AdrianAbdulBaha)-ʔani.wav,https://upload.wikimedia.org/wikipedia/commons/d/df/LL-Q55633582_%28ajp%29-Muhammad_%28AdrianAbdulBaha%29-%CA%94ani.wav
1420,واسع,ˈwæː.sɪʕ,2,1,LL-Q55633582 (ajp)-Muhammad (AdrianAbdulBaha)-واسع.wav,https://upload.wikimedia.org/wikipedia/commons/a/ab/LL-Q55633582_%28ajp%29-Muhammad_%28AdrianAbdulBaha%29-%D9%88%D8%A7%D8%B3%D8%B9.wav
812,سابع,ˈsæː.bɪʕ,2,1,LL-Q55633582 (ajp)-Muhammad (AdrianAbdulBaha)-سابع.wav,https://upload.wikimedia.org/wikipedia/commons/f/fb/LL-Q55633582_%28ajp%29-Muhammad_%28AdrianAbdulBaha%29-%D8%B3%D8%A7%D8%A8%D8%B9.wav
20,إبريق,ʔɪbˈriːʔ,2,2,LL-Q55633582 (ajp)-Khalil.rantissi-إبريق.wav,https://upload.wikimedia.org/wikipedia/commons/1/1f/LL-Q55633582_%28ajp%29-Khalil.rantissi-%D8%A5%D8%A8%D8%B1%D9%8A%D9%82.wav
487,بطة,ˈbɑtˤ.tˤɑ,2,1,LL-Q55633582 (ajp)-Muhammad (AdrianAbdulBaha)-بطّة.wav,https://upload.wikimedia.org/wikipedia/commons/a/af/LL-Q55633582_%28ajp%29-Muhammad_%28AdrianAbdulBaha%29-%D8%A8%D8%B7%D9%91%D8%A9.wav
1168,قرفص,ˈʔɑrˤ.fɑsˤ,2,1,LL-Q55633582 (ajp)-Muhammad (AdrianAbdulBaha)-قَرفَص.wav,https://upload.wikimedia.org/wikipedia/commons/b/bf/LL-Q55633582_%28ajp%29-Muhammad_%28AdrianAbdulBaha%29-%D9%82%D9%8E%D8%B1%D9%81%D9%8E%D8%B5.wav
1383,نفس,ˈnaf.fas,2,1,LL-Q55633582 (ajp)-Muhammad (AdrianAbdulBaha)-نفس.wav,https://upload.wikimedia.org/wikipedia/commons/0/0c/LL-Q55633582_%28ajp%29-Muhammad_%28AdrianAbdulBaha%29-%D9%86%D9%81%D8%B3.wav
508,بقتحم,ˈbɪqt.ħɪm,2,1,LL-Q55633582 (ajp)-Muhammad (AdrianAbdulBaha)-بقتحم.wav,https://upload.wikimedia.org/wikipedia/commons/0/03/LL-Q55633582_%28ajp%29-Muhammad_%28AdrianAbdulBaha%29-%D8%A8%D9%82%D8%AA%D8%AD%D9%85.wav
704,داخل,ˈdæː.xɪl,2,1,LL-Q55633582 (ajp)-Muhammad (AdrianAbdulBaha)-داخل.wav,https://upload.wikimedia.org/wikipedia/commons/0/00/LL-Q55633582_%28ajp%29-Muhammad_%28AdrianAbdulBaha%29-%D8%AF%D8%A7%D8%AE%D9%84.wav
563,تنى,ˈta.na,2,1,LL-Q55633582 (ajp)-Khalil.rantissi-ثنى.wav,https://upload.wikimedia.org/wikipedia/commons/5/50/LL-Q55633582_%28ajp%29-Khalil.rantissi-%D8%AB%D9%86%D9%89.wav
146,ريحان,riˈħæːn,2,2,LL-Q55633582 (ajp)-Khalil.rantissi-ريحان.wav,https://upload.wikimedia.org/wikipedia/commons/2/26/LL-Q55633582_%28ajp%29-Khalil.rantissi-%D8%B1%D9%8A%D8%AD%D8%A7%D9%86.wav
452,بجتمع,ˈbɪʒt.mɪʕ,2,1,LL-Q55633582 (ajp)-Muhammad (AdrianAbdulBaha)-بجتمع.wav,https://upload.wikimedia.org/wikipedia/commons/f/fd/LL-Q55633582_%28ajp%29-Muhammad_%28AdrianAbdulBaha%29-%D8%A8%D8%AC%D8%AA%D9%85%D8%B9.wav
106,حبيب,ħaˈbiːb,2,2,LL-Q55633582 (ajp)-MahmoudM (AdrianAbdulBaha)-حبيب.wav,https://upload.wikimedia.org/wikipedia/commons/b/b1/LL-Q55633582_%28ajp%29-MahmoudM_%28AdrianAbdulBaha%29-%D8%AD%D8%A8%D9%8A%D8%A8.wav
1329,مفصل,ˈmɑf.sˤɑl,2,1,LL-Q55633582 (ajp)-Muhammad (AdrianAbdulBaha)-مفصل.wav,https://upload.wikimedia.org/wikipedia/commons/6/61/LL-Q55633582_%28ajp%29-Muhammad_%28AdrianAbdulBaha%29-%D9%85%D9%81%D8%B5%D9%84.wav
1103,فحم,ˈfa.ħ(ɪ)m,2,1,LL-Q55633582 (ajp)-Muhammad (AdrianAbdulBaha)-فحم.wav,https://upload.wikimedia.org/wikipedia/commons/4/47/LL-Q55633582_%28ajp%29-Muhammad_%28AdrianAbdulBaha%29-%D9%81%D8%AD%D9%85.wav
389,أغلب,ˈʔaɣ.lab,2,1,LL-Q55633582 (ajp)-Muhammad (AdrianAbdulBaha)-أغلب.wav,https://upload.wikimedia.org/wikipedia/commons/4/48/LL-Q55633582_%28ajp%29-Muhammad_%28AdrianAbdulBaha%29-%D8%A3%D8%BA%D9%84%D8%A8.wav
1433,ورق,ˈwɑ.rˤɑʔ,2,1,LL-Q55633582 (ajp)-Khalil.rantissi-ورق.wav,https://upload.wikimedia.org/wikipedia/commons/d/dd/LL-Q55633582_%28ajp%29-Khalil.rantissi-%D9%88%D8%B1%D9%82.wav
181,صرصور,sˤɑrˈsˤuːr,2,2,LL-Q55633582 (ajp)-Muhammad (AdrianAbdulBaha)-صرصور.wav,https://upload.wikimedia.org/wikipedia/commons/8/86/LL-Q55633582_%28ajp%29-Muhammad_%28AdrianAbdulBaha%29-%D8%B5%D8%B1%D8%B5%D9%88%D8%B1.wav
1404,هجم,ˈha.ʒam,2,1,LL-Q55633582 (ajp)-Khalil.rantissi-هَجَم.wav,https://upload.wikimedia.org/wikipedia/commons/6/67/LL-Q55633582_%28ajp%29-Khalil.rantissi-%D9%87%D9%8E%D8%AC%D9%8E%D9%85.wav
587,جسم,ˈʒɪ.s(ɪ)m,2,1,LL-Q55633582 (ajp)-Muhammad (AdrianAbdulBaha)-جسم.wav,https://upload.wikimedia.org/wikipedia/commons/a/a6/LL-Q55633582_%28ajp%29-Muhammad_%28AdrianAbdulBaha%29-%D8%AC%D8%B3%D9%85.wav
