fileName,name,duration,intensity1,intensity2,intensity3,intensity4,intensity5,intensity6,intensity7,intensity8,intensity9,intensity10,meanIntensity
file0.TextGrid,1,0.130,61,72,69,60,58,57,53,55,63,64,61.137
file0.TextGrid,2,0.390,64,72,79,79,79,80,75,62,55,53,71.397
file1.TextGrid,1,0.210,39,72,80,82,79,74,77,75,72,59,73.589
file1.TextGrid,2,0.450,59,67,82,83,80,68,58,55,53,36,65.990
file10.TextGrid,1,0.300,27,34,47,53,59,74,80,81,80,74,62.380
file10.TextGrid,2,0.340,74,70,73,74,65,59,54,42,45,31,59.115
file100.TextGrid,1,0.280,11,39,52,55,57,67,79,84,83,77,62.402
file100.TextGrid,2,0.380,77,70,77,77,74,62,56,51,48,44,63.826
file1000.TextGrid,1,0.070,83,84,83,81,79,79,79,77,74,72,79.332
file1000.TextGrid,2,0.240,72,75,83,83,83,84,79,69,64,60,76.260
file1001.TextGrid,1,0.140,31,48,59,64,66,71,76,76,73,69,64.909
file1001.TextGrid,2,0.450,69,67,74,74,76,74,66,58,54,34,65.985
file1002.TextGrid,1,0.520,19,47,62,64,69,81,70,63,63,68,62.558
file1002.TextGrid,2,0.640,68,75,78,79,75,71,59,54,46,21,65.299
file1003.TextGrid,1,0.130,43,63,72,74,75,76,76,76,73,69,71.253
file1003.TextGrid,2,0.470,69,75,76,63,69,67,53,41,33,31,57.713
file1004.TextGrid,1,0.250,41,72,79,83,83,82,81,81,81,74,78.756
file1004.TextGrid,2,0.170,74,70,72,72,72,70,64,72,83,84,72.537
file1005.TextGrid,1,0.190,36,62,68,73,80,81,80,80,80,77,73.614
file1005.TextGrid,2,0.370,77,75,65,67,66,67,61,44,37,31,59.485
file1006.TextGrid,1,0.190,36,36,49,54,72,82,83,80,71,73,64.636
file1006.TextGrid,2,0.420,73,71,72,58,70,61,53,46,39,33,58.224
file1007.TextGrid,1,0.280,12,59,76,79,73,71,67,60,51,37,63.099
file1007.TextGrid,2,0.430,37,58,83,83,84,83,82,80,67,69,74.333
file1008.TextGrid,1,0.110,49,49,63,73,77,78,78,78,79,80,70.835
file1008.TextGrid,2,0.410,80,79,80,73,69,57,43,40,37,30,59.382
file1009.TextGrid,1,0.310,80,82,77,81,84,85,85,83,81,70,81.544
file1009.TextGrid,2,0.150,70,65,64,61,60,59,58,58,59,56,60.677
file101.TextGrid,1,0.200,61,64,71,80,82,83,78,73,71,68,74.010
file101.TextGrid,2,0.450,68,79,76,67,57,58,60,59,58,50,63.624
file1010.TextGrid,1,0.310,39,69,70,72,75,81,83,80,74,65,73.483
file1010.TextGrid,2,0.420,65,55,51,55,60,72,75,73,49,32,60.192
file1011.TextGrid,1,0.100,29,47,54,65,74,79,81,81,81,77,68.539
file1011.TextGrid,2,0.700,77,77,81,79,73,65,58,52,40,29,63.992
file1012.TextGrid,1,0.230,68,85,86,87,85,82,81,84,85,82,83.517
file1012.TextGrid,2,0.460,82,79,74,62,59,56,49,43,34,23,56.843
file1013.TextGrid,1,0.120,69,72,74,75,75,74,74,74,70,66,72.971
file1013.TextGrid,2,0.190,66,64,67,73,74,73,70,66,57,37,66.512
file1014.TextGrid,1,0.160,12,22,44,54,59,58,61,74,77,77,54.898
file1014.TextGrid,2,0.510,77,77,76,75,74,69,55,50,45,31,64.524
file1015.TextGrid,1,0.200,46,71,76,78,69,57,53,59,59,65,64.109
file1015.TextGrid,2,0.660,65,84,83,82,83,78,63,56,47,37,70.346
file1016.TextGrid,1,0.120,50,65,72,75,77,76,68,65,69,70,69.951
file1016.TextGrid,2,0.310,70,68,64,61,67,67,62,49,43,40,59.456
file1017.TextGrid,1,0.080,74,76,77,79,80,82,82,81,78,73,78.728
file1017.TextGrid,2,0.230,73,62,60,58,58,64,68,68,68,66,63.885
file1018.TextGrid,1,0.310,41,55,63,64,80,80,76,76,73,77,69.934
file1018.TextGrid,2,0.410,77,78,76,67,68,66,67,57,50,48,65.219
file1019.TextGrid,1,0.240,14,20,57,71,72,70,70,70,71,68,60.282
file1019.TextGrid,2,0.510,68,72,73,72,56,52,47,39,33,26,54.367
file102.TextGrid,1,0.550,29,58,65,58,78,66,65,69,65,61,63.440
file102.TextGrid,2,0.160,61,58,59,58,56,53,46,39,34,30,49.736
file1020.TextGrid,1,0.240,2,53,68,74,76,77,84,81,80,70,70.568
file1020.TextGrid,2,0.590,70,67,67,61,61,55,58,57,45,23,57.536
file1021.TextGrid,1,0.170,59,63,78,80,76,77,76,73,68,71,72.733
file1021.TextGrid,2,0.460,71,78,78,80,72,59,49,52,42,35,63.120
file1022.TextGrid,1,0.170,60,80,84,81,73,70,65,66,71,78,73.420
file1022.TextGrid,2,0.510,78,81,82,74,65,61,52,51,37,35,62.613
file1023.TextGrid,1,0.200,60,60,62,64,65,67,68,79,82,83,68.756
file1023.TextGrid,2,0.790,83,78,69,61,68,76,69,54,46,47,65.368
file1024.TextGrid,1,0.330,34,67,79,74,51,23,9,3,0.8,-1,35.752
