fileName,name,duration,F1,F2,F3
file0.TextGrid,,0.130,460,1483,2962
file0.TextGrid,1,0.190,985,2157,3323
file0.TextGrid,2,0.100,386,1261,2883
file0.TextGrid,3,0.250,337,2002,2927
file0.TextGrid,4,0.280,374,2010,2836
file0.TextGrid,,0.189,647,2076,3005
file1.TextGrid,,0.220,918,1470,2888
file1.TextGrid,1,0.110,940,1631,2755
file1.TextGrid,2,0.180,592,1493,3300
file1.TextGrid,3,0.480,405,1913,2769
file1.TextGrid,4,0.150,292,1713,2601
file1.TextGrid,,0.175,336,1544,2719
file10.TextGrid,,0.230,515,1719,2729
file10.TextGrid,1,0.110,350,1784,2754
file10.TextGrid,2,0.160,1016,2079,3372
file10.TextGrid,3,0.170,551,1067,2756
file10.TextGrid,4,0.330,591,1466,2767
file10.TextGrid,,0.315,597,1299,2657
file11.TextGrid,,0.300,537,1670,2735
file11.TextGrid,1,0.060,335,2127,2725
file11.TextGrid,2,0.370,527,1688,2706
file11.TextGrid,3,0.070,476,1316,2593
file11.TextGrid,4,0.250,563,1544,2727
file11.TextGrid,,0.357,800,1594,2589
file12.TextGrid,,0.280,636,1675,2841
file12.TextGrid,1,0.180,595,1289,2992
file12.TextGrid,2,0.120,619,1263,2996
file12.TextGrid,3,0.230,328,1918,2762
file12.TextGrid,4,0.320,449,1888,2668
file12.TextGrid,,0.277,479,1545,2533
file13.TextGrid,,0.290,1174,2159,3224
file13.TextGrid,1,0.220,955,1931,3137
file13.TextGrid,2,0.190,631,1154,3040
file13.TextGrid,3,0.120,538,1299,3032
file13.TextGrid,4,0.380,370,1618,2696
file13.TextGrid,,0.195,458,1665,3006
file14.TextGrid,,0.320,748,1975,3065
file14.TextGrid,1,0.110,554,1839,2630
file14.TextGrid,2,0.300,766,2073,2966
file14.TextGrid,3,0.360,315,2380,3046
file14.TextGrid,4,0.130,482,1906,2462
file14.TextGrid,,0.260,804,2122,3046
file15.TextGrid,,0.210,1130,2117,3198
file15.TextGrid,1,0.150,655,2300,2823
file15.TextGrid,2,0.090,390,1486,2661
file15.TextGrid,3,0.130,368,1497,2604
file15.TextGrid,4,0.240,429,1715,2712
file15.TextGrid,,0.404,677,1931,3073
file16.TextGrid,,0.230,565,1748,2746
file16.TextGrid,1,0.200,577,1266,2987
file16.TextGrid,2,0.290,499,1369,2989
file16.TextGrid,3,0.160,389,1446,2987
file16.TextGrid,4,0.300,492,1239,2706
file16.TextGrid,,0.227,630,1715,2854
file17.TextGrid,,0.300,565,1777,2914
file17.TextGrid,1,0.200,536,1017,2863
file17.TextGrid,2,0.130,448,1046,2718
file17.TextGrid,3,0.230,464,1339,2590
file17.TextGrid,4,0.210,406,1313,2571
file17.TextGrid,,0.245,411,1416,2564
file18.TextGrid,,0.260,716,1653,2998
file18.TextGrid,1,0.110,627,1258,2673
file18.TextGrid,2,0.120,326,934,2585
file18.TextGrid,3,0.180,287,1910,2575
file18.TextGrid,4,0.360,314,1809,2538
file18.TextGrid,,0.099,502,1543,2797
file19.TextGrid,,0.250,1064,2234,3252
file19.TextGrid,1,0.090,565,1501,3128
file19.TextGrid,2,0.120,483,956,2847
file19.TextGrid,3,0.210,387,1991,2749
file19.TextGrid,4,0.350,538,1498,2765
file19.TextGrid,,0.202,620,1678,2973
file2.TextGrid,,0.190,1090,2190,3268
file2.TextGrid,1,0.100,765,2019,2795
file2.TextGrid,2,0.110,416,1564,2587
file2.TextGrid,3,0.150,433,1695,2516
file2.TextGrid,4,0.400,399,2032,2654
file2.TextGrid,,0.189,683,2005,3224
file20.TextGrid,,0.220,954,2135,3068
file20.TextGrid,1,0.280,909,1764,3202
file20.TextGrid,2,0.150,859,1309,2991
file20.TextGrid,3,0.290,650,2153,2958
file20.TextGrid,4,0.120,558,2157,2736
file20.TextGrid,,0.335,830,1928,3123
file21.TextGrid,,0.260,1032,2220,3312
file21.TextGrid,1,0.230,442,2417,3050
file21.TextGrid,2,0.120,554,1878,3014
file21.TextGrid,3,0.270,721,1646,2788
file21.TextGrid,4,0.160,755,1533,2896
file21.TextGrid,,0.269,816,1818,3061
file22.TextGrid,,0.260,1032,2220,3312
file22.TextGrid,1,0.230,442,2417,3050
file22.TextGrid,2,0.120,554,1878,3014
file22.TextGrid,3,0.270,721,1646,2788
file22.TextGrid,4,0.160,755,1533,2896
file22.TextGrid,,0.269,816,1818,3061
file23.TextGrid,,0.240,643,1953,3047
file23.TextGrid,1,0.220,644,1402,2615
file23.TextGrid,2,0.080,571,1794,2879
file23.TextGrid,3,0.190,329,2213,2713
file23.TextGrid,4,0.410,414,1932,2670
file23.TextGrid,,0.175,504,1800,2730
file24.TextGrid,,0.230,662,1661,2740
file24.TextGrid,1,0.100,430,1622,3002
file24.TextGrid,2,0.290,536,1508,2377
file24.TextGrid,3,0.210,290,2257,2821
file24.TextGrid,4,0.220,410,1916,2756
file24.TextGrid,,0.265,525,1529,2626
file25.TextGrid,,0.190,562,1587,3013
file25.TextGrid,1,0.210,503,1568,3092
file25.TextGrid,2,0.180,680,1146,3036
file25.TextGrid,3,0.370,337,2436,3094
file25.TextGrid,4,0.170,452,1990,2612
file25.TextGrid,,0.275,517,1523,2817
file26.TextGrid,,0.260,916,1885,3097
file26.TextGrid,1,0.150,824,1170,2431
file26.TextGrid,2,0.100,552,1117,2708
file26.TextGrid,3,0.160,504,1039,2535
file26.TextGrid,4,0.410,401,1968,2717
file26.TextGrid,,0.144,399,2014,3250
file27.TextGrid,,0.300,528,1503,2690
file27.TextGrid,1,0.160,678,1533,2728
file27.TextGrid,2,0.180,493,1387,2701
file27.TextGrid,3,0.240,607,1719,3057
file27.TextGrid,4,0.210,549,1558,2714
file27.TextGrid,,0.317,668,1598,2951
file28.TextGrid,,0.270,1098,2109,3217
file28.TextGrid,1,0.190,865,1968,3158
file28.TextGrid,2,0.130,727,1956,3163
file28.TextGrid,3,0.310,309,1985,2761
file28.TextGrid,4,0.360,331,2057,2804
file28.TextGrid,,0.135,651,2161,3298
file29.TextGrid,,0.210,654,1564,2812
file29.TextGrid,1,0.160,692,1708,2959
file29.TextGrid,2,0.430,711,1283,2712
file29.TextGrid,3,0.230,432,1513,2746
file29.TextGrid,4,0.340,339,1664,3407
file29.TextGrid,,0.281,917,1962,3050
file3.TextGrid,,0.240,819,1766,2866
file3.TextGrid,1,0.060,824,1147,2457
file3.TextGrid,2,0.060,797,1184,2568
